"Category","Posting Date","Location","Description","Payment Method","Amount",,
"Airlines / Transportation",10/13/10,"FAREFAMILIES,OK","FRONTIER 42221665626135 FAREFAMILIES OK","BUSINESSLINE? XXXX-XXXX-XXXX-7063",$384.30,,
"Airlines / Transportation",07/23/10," ","CHECK CRD PUR RTRN 07/21 SNCF INTERNET   012407  77ISLES LES M FR 425907XXXXXX4792 204040003192535                               ?MCC=4011 01","Check Card/ATM Card XXXX-XXXX-XXXX-4792",-$71.14,,
"Airlines / Transportation",07/12/10," ","CHECK CRD PURCHASE 07/08 SNCF INTERNET   012407  77ISLES LES M FR 425907XXXXXX4792 192040007837614                               ?MCC=4011                     121042882DA01","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$74.43,,
"Airlines / Transportation",07/12/10," ","CHECK CRD PURCHASE 07/08 SNCF INTERNET   012407  77ISLES LES M FR 425907XXXXXX4792 192040007837833                               ?MCC=4011                     121042882DA01","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$70.25,,
"Auto / Gas",12/16/10,"LAGUNA BEACH,CA","THE VILLAGE MART & GAS LAGUNA BEACH CA","BUSINESS CARD XXXX-XXXX-XXXX-5310",$58.43,,
"Auto / Gas",11/29/10,"LOS ANGELES,CA","76CR5701LOSANG10080083 LOS ANGELES CA","BUSINESS CARD XXXX-XXXX-XXXX-5310",$46.42,,
"Auto / Gas",11/05/10,"LOS ANGELES,CA","EXXONMOBIL    14290837 LOS ANGELES CA","BUSINESS CARD XXXX-XXXX-XXXX-5310",$55.57,,
"Auto / Gas",11/05/10,"NO HOLLYWOOD,CA","UNION 76      53470480 NO HOLLYWOOD CA","BUSINESS CARD XXXX-XXXX-XXXX-5310",$56.26,,
"Auto / Gas",10/29/10,"NASHVILLE,TN","ENTERPRISE RENT-A-CAR NASHVILLE TN","BUSINESS CARD XXXX-XXXX-XXXX-5310",$224.63,,
"Auto / Gas",10/14/10,"VENICE,CA","CHEVRON 0095243 VENICE CA","BUSINESSLINE? XXXX-XXXX-XXXX-7063",$59.33,,
"Auto / Gas",09/30/10,"CULVER CITY,CA","NATIONAL SMOG CHECK & TE CULVER CITY CA","Credit Card XXXX-XXXX-XXXX-8836",$51.75,,
"Auto / Gas",09/28/10,"LOS ANGELES,CA","CHEVRON 00092324 LOS ANGELES CA","Credit Card XXXX-XXXX-XXXX-8836",$55.94,,
"Auto / Gas",09/28/10,"LOS ANGELES,CA","LA CITY PARKING METER LOS ANGELES CA","Credit Card XXXX-XXXX-XXXX-8836",$4.00,,
"Auto / Gas",09/13/10,"CULVER CITY,CA","SHELL OIL 57443254909 CULVER CITY CA","Credit Card XXXX-XXXX-XXXX-8836",$54.64,,
"Auto / Gas",08/26/10,"CULVER CITY,CA","SHELL OIL 57443254909 CULVER CITY CA","Credit Card XXXX-XXXX-XXXX-8836",$63.01,,
"Auto / Gas",08/23/10," ","POS PURCHASE -  08/21 MACH ID 000000    ARCO PAYPOINT            LOS ANGELES  CA 4792 00380233653205010                          ?MCC=5542","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$55.57,,
"Auto / Gas",07/07/10,"CULVER CITY,CA","SHELL OIL 57443254909 CULVER CITY CA","Credit Card XXXX-XXXX-XXXX-8836",$60.00,,
"Auto / Gas",06/18/10,"CULVER CITY,CA","SHELL OIL 57443254909 CULVER CITY CA","Credit Card XXXX-XXXX-XXXX-8836",$53.40,,
"Auto / Gas",05/24/10,"LOS ANGELES,CA","UNION 76      10096956 LOS ANGELES CA","Credit Card XXXX-XXXX-XXXX-8836",$57.56,,
"Auto / Gas",05/03/10,"CULVER CITY,CA","SHELL OIL 57443254909 CULVER CITY CA","Credit Card XXXX-XXXX-XXXX-8836",$58.98,,
"Auto / Gas",02/16/10,"CULVER CITY,CA","UNION 76      63576540 CULVER CITY CA","Credit Card XXXX-XXXX-XXXX-8836",$55.02,,
"Cash Withdrawals from ATM & Branch",12/20/10," ","ATM WITHDRAWAL -  12/19 MACH ID 9902B     10011 WASHINGTON BLVD   CULVER CITY   CA 4792 0002211","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$100.00,,
"Cash Withdrawals from ATM & Branch",12/10/10," ","ATM WITHDRAWAL -  12/10 MACH ID 9902B     10011 WASHINGTON BLVD   CULVER CITY   CA 4792 0008967","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$100.00,,
"Cash Withdrawals from ATM & Branch",12/01/10," ","ATM WITHDRAWAL -  12/01 MACH ID 9930Q     10011 WASHINGTON BLVD   CULVER CITY   CA 4792 0007838","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$100.00,,
